a	a	DT	O
news	news	NN	O
briefing	briefing	NN	O
.	.	.	O

He	he	PRP	O
said	say	VBD	O
further	far	RB	O
scientific	scientific	JJ	O
study	study	NN	O
was	be	VBD	O
required	require	VBN	O
and	and	CC	O
if	if	IN	O
it	it	PRP	O
was	be	VBD	O
found	find	VBN	O
that	that	IN	O
action	action	NN	O
was	be	VBD	O
needed	need	VBN	O
it	it	PRP	O
should	should	MD	O
be	be	VB	O
taken	take	VBN	O
by	by	IN	O
the	the	DT	O
European	european	NNP	B-ORG
Union	union	NNP	L-ORG
.	.	.	O

He	he	PRP	O
said	say	VBD	O
a	a	DT	O
proposal	proposal	NN	O
last	last	JJ	O
month	month	NN	O
by	by	IN	O
EU	eu	NNP	U-ORG
Farm	farm	NNP	O
Commissioner	commissioner	NNP	O
Franz	franz	NNP	B-PER
Fischler	fischler	NNP	L-PER
to	to	TO	O
ban	ban	VB	O
sheep	sheep	JJ	O
brains	brain	NNS	O
,	,	,	O
spleens	spleen	NNS	O
and	and	CC	O
spinal	spinal	JJ	O
cords	cord	NNS	O
from	from	IN	O
the	the	DT	O
human	human	JJ	O
and	and	CC	O
animal	animal	NN	O
food	food	NN	O
chains	chain	NNS	O
was	be	VBD	O
a	a	DT	O
highly	highly	RB	O
specific	specific	JJ	O
and	and	CC	O
precautionary	precautionary	JJ	O
move	move	NN	O
to	to	TO	O
protect	protect	VB	O
human	human	JJ	O
health	health	NN	O
.	.	.	O

Fischler	fischler	NNP	U-PER
proposed	propose	VBD	O
EU-wide	eu-wide	JJ	U-MISC
measures	measure	NNS	O
after	after	IN	O
reports	report	NNS	O
from	from	IN	O
Britain	britain	NNP	U-LOC
and	and	CC	O
France	france	NNP	U-LOC
that	that	IN	O
under	under	IN	O
laboratory	laboratory	NN	O
conditions	condition	NNS	O
sheep	sheep	VBP	O
could	could	MD	O
contract	contract	VB	O
Bovine	bovine	NNP	B-MISC
Spongiform	spongiform	NNP	I-MISC
Encephalopathy	encephalopathy	NNP	L-MISC
(	(	-LRB-	O
BSE	bse	NNP	U-MISC
)	)	-RRB-	O
--	--	:	O
mad	mad	JJ	O
cow	cow	NN	O
disease	disease	NN	O
.	.	.	O

But	but	CC	O
Fischler	fischler	NNP	U-PER
agreed	agree	VBD	O
to	to	TO	O
review	review	VB	O
his	his	PRP$	O
proposal	proposal	NN	O
after	after	IN	O
the	the	DT	O
EU	eu	NNP	U-ORG
's	's	POS	O
standing	stand	VBG	O
veterinary	veterinary	JJ	O
committee	committee	NN	O
,	,	,	O
mational	mational	JJ	O
animal	animal	NN	O
health	health	NN	O
officials	official	NNS	O
,	,	,	O
questioned	question	VBN	O
if	if	IN	O
such	such	JJ	O
action	action	NN	O
was	be	VBD	O
justified	justify	VBN	O
as	as	IN	O
there	there	EX	O
was	be	VBD	O
only	only	RB	O
a	a	DT	O
slight	slight	JJ	O
risk	risk	NN	O
to	to	IN	O
human	human	JJ	O
health	health	NN	O
.	.	.	O

Spanish	spanish	JJ	U-MISC
Farm	farm	NNP	O
Minister	minister	NNP	O
Loyola	loyola	NNP	B-PER
de	de	NNP	I-PER
Palacio	palacio	NNP	L-PER
had	have	VBD	O
earlier	early	RBR	O
accused	accuse	VBN	O
Fischler	fischler	NNP	U-PER
at	at	IN	O
an	an	DT	O
EU	eu	NNP	U-ORG
farm	farm	NN	O
ministers	minister	NNS	O
'	'	POS	O
meeting	meeting	NN	O
of	of	IN	O
causing	cause	VBG	O
unjustified	unjustified	JJ	O
alarm	alarm	NN	O
through	through	IN	O
"	"	``	O
dangerous	dangerous	JJ	O
generalisation	generalisation	NN	O
.	.	.	O
"	"	''	O

.	.	.	O

Only	only	RB	O
France	france	NNP	U-LOC
and	and	CC	O
Britain	britain	NNP	U-LOC
backed	back	VBD	O
Fischler	fischler	NNP	U-PER
's	's	POS	O
proposal	proposal	NN	O
.	.	.	O

The	the	DT	O
EU	eu	NNP	U-ORG
's	's	POS	O
scientific	scientific	JJ	O
veterinary	veterinary	JJ	O
and	and	CC	O
multidisciplinary	multidisciplinary	JJ	O
committees	committee	NNS	O
are	be	VBP	O
due	due	JJ	O
to	to	IN	O
re-examine	re-examine	NN	O
the	the	DT	O
issue	issue	NN	O
early	early	RB	O
next	next	JJ	O
month	month	NN	O
and	and	CC	O
make	make	VB	O
recommendations	recommendation	NNS	O
to	to	IN	O
the	the	DT	O
senior	senior	JJ	O
veterinary	veterinary	JJ	O
officials	official	NNS	O
.	.	.	O

Sheep	sheep	NNP	O
have	have	VBP	O
long	long	RB	O
been	be	VBN	O
known	know	VBN	O
to	to	IN	O
contract	contract	NN	O
scrapie	scrapie	NN	O
,	,	,	O
a	a	DT	O
brain-wasting	brain-wasting	JJ	O
disease	disease	NN	O
similar	similar	JJ	O
to	to	IN	O
BSE	bse	NNP	U-MISC
which	which	WDT	O
is	be	VBZ	O
believed	believe	VBN	O
to	to	TO	O
have	have	VB	O
been	be	VBN	O
transferred	transfer	VBN	O
to	to	IN	O
cattle	cattle	NNS	O
through	through	IN	O
feed	feed	NN	O
containing	contain	VBG	O
animal	animal	NN	O
waste	waste	NN	O
.	.	.	O

British	british	JJ	U-MISC
farmers	farmer	NNS	O
denied	deny	VBD	O
on	on	IN	O
Thursday	thursday	NNP	O
there	there	EX	O
was	be	VBD	O
any	any	DT	O
danger	danger	NN	O
to	to	IN	O
human	human	JJ	O
health	health	NN	O
from	from	IN	O
their	their	PRP$	O
sheep	sheep	NN	O
,	,	,	O
but	but	CC	O
expressed	express	VBD	O
concern	concern	NN	O
that	that	IN	O
German	german	JJ	U-MISC
government	government	NN	O
advice	advice	NN	O
to	to	IN	O
consumers	consumer	NNS	O
to	to	TO	O
avoid	avoid	VB	O
British	british	JJ	U-MISC
lamb	lamb	NN	O
might	might	MD	O
influence	influence	VB	O
consumers	consumer	NNS	O
across	across	IN	O
Europe	europe	NNP	U-LOC
.	.	.	O

"	"	``	O
What	what	WP	O
we	we	PRP	O
have	have	VBP	O
to	to	TO	O
be	be	VB	O
extremely	extremely	RB	O
careful	careful	JJ	O
of	of	IN	O
is	be	VBZ	O
how	how	WRB	O
other	other	JJ	O
countries	country	NNS	O
are	be	VBP	O
going	go	VBG	O
to	to	TO	O
take	take	VB	O
Germany	germany	NNP	U-LOC
's	's	POS	O
lead	lead	NN	O
,	,	,	O
"	"	''	O
Welsh	welsh	NNP	B-ORG
National	national	NNP	I-ORG
Farmers	farmers	NNP	I-ORG
'	'	POS	I-ORG
Union	union	NNP	L-ORG
(	(	-LRB-	O
NFU	nfu	NNP	U-ORG
)	)	-RRB-	O
chairman	chairman	NN	O
John	john	NNP	B-PER
Lloyd	lloyd	NNP	I-PER
Jones	jones	NNP	L-PER
said	say	VBD	O
on	on	IN	O
BBC	bbc	NNP	B-ORG
radio	radio	NN	L-ORG
.	.	.	O

Bonn	bonn	NNP	U-LOC
has	have	VBZ	O
led	lead	VBN	O
efforts	effort	NNS	O
to	to	TO	O
protect	protect	VB	O
public	public	JJ	O
health	health	NN	O
after	after	IN	O
consumer	consumer	NN	O
confidence	confidence	NN	O
collapsed	collapse	VBD	O
in	in	IN	O
March	march	NNP	O
after	after	IN	O
a	a	DT	O
British	british	JJ	U-MISC
report	report	NN	O
suggested	suggest	VBD	O
humans	human	NNS	O
could	could	MD	O
contract	contract	VB	O
an	an	DT	O
illness	illness	NN	O
similar	similar	JJ	O
to	to	IN	O
mad	mad	JJ	O
cow	cow	NN	O
disease	disease	NN	O
by	by	IN	O
eating	eat	VBG	O
contaminated	contaminate	VBN	O
beef	beef	NN	O
.	.	.	O

Germany	germany	NNP	U-LOC
imported	import	VBD	O
47,600	0	CD	O
sheep	sheep	NNS	O
from	from	IN	O
Britain	britain	NNP	U-LOC
last	last	JJ	O
year	year	NN	O
,	,	,	O
nearly	nearly	RB	O
half	half	NN	O
of	of	IN	O
total	total	JJ	O
imports	import	NNS	O
.	.	.	O

It	it	PRP	O
brought	bring	VBD	O
in	in	IN	O
4,275	0	CD	O
tonnes	tonne	NNS	O
of	of	IN	O
British	british	JJ	U-MISC
mutton	mutton	NN	O
,	,	,	O
some	some	DT	O
10	0	CD	O
percent	percent	NN	O
of	of	IN	O
overall	overall	JJ	O
imports	import	NNS	O
.	.	.	O

-DOCSTART-	-docstart-	XX	O

Rare	rare	NNP	O
Hendrix	hendrix	NNP	U-PER
song	song	NN	O
draft	draft	NN	O
sells	sell	VBZ	O
for	for	IN	O
almost	almost	RB	O
$	$	$	O
17,000	0	CD	O
.	.	.	O

LONDON	london	NNP	U-LOC
1996-08-22	0	CD	O

A	a	DT	O
rare	rare	JJ	O
early	early	JJ	O
handwritten	handwritten	JJ	O
draft	draft	NN	O
of	of	IN	O
a	a	DT	O
song	song	NN	O
by	by	IN	O
U.S.	u.s.	NNP	U-LOC
guitar	guitar	NN	O
legend	legend	NN	O
Jimi	jimi	NNP	B-PER
Hendrix	hendrix	NNP	L-PER
was	be	VBD	O
sold	sell	VBN	O
for	for	IN	O
almost	almost	RB	O
$	$	$	O
17,000	0	CD	O
on	on	IN	O
Thursday	thursday	NNP	O
at	at	IN	O
an	an	DT	O
auction	auction	NN	O
of	of	IN	O
some	some	DT	O
of	of	IN	O
the	the	DT	O
late	late	JJ	O
musician	musician	NN	O
's	's	POS	O
favourite	favourite	JJ	O
possessions	possession	NNS	O
.	.	.	O

A	a	DT	O
Florida	florida	NNP	U-LOC
restaurant	restaurant	NN	O
paid	pay	VBD	O
10,925	0	CD	O
pounds	pound	NNS	O
(	(	-LRB-	O
$	$	$	O
16,935	0	CD	O
)	)	-RRB-	O
for	for	IN	O
the	the	DT	O
draft	draft	NN	O
of	of	IN	O
"	"	``	O
Ai	ai	NNP	B-MISC
n't	not	RB	I-MISC
no	no	DT	I-MISC
telling	tell	VBG	L-MISC
"	"	''	O
,	,	,	O
which	which	WDT	O
Hendrix	hendrix	NNP	U-PER
penned	pen	VBD	O
on	on	IN	O
a	a	DT	O
piece	piece	NN	O
of	of	IN	O
London	london	NNP	U-LOC
hotel	hotel	NN	O
stationery	stationery	NN	O
in	in	IN	O
late	late	JJ	O
1966	0	CD	O
.	.	.	O

At	at	IN	O
the	the	DT	O
end	end	NN	O
of	of	IN	O
a	a	DT	O
January	january	NNP	O
1967	0	CD	O
concert	concert	NN	O
in	in	IN	O
the	the	DT	O
English	english	NNP	U-MISC
city	city	NN	O
of	of	IN	O
Nottingham	nottingham	NNP	U-LOC
he	he	PRP	O
threw	throw	VBD	O
the	the	DT	O
sheet	sheet	NN	O
of	of	IN	O
paper	paper	NN	O
into	into	IN	O
the	the	DT	O
audience	audience	NN	O
,	,	,	O
where	where	WRB	O
it	it	PRP	O
was	be	VBD	O
retrieved	retrieve	VBN	O
by	by	IN	O
a	a	DT	O
fan	fan	NN	O
.	.	.	O

Buyers	buyer	NNS	O
also	also	RB	O
snapped	snap	VBD	O
up	up	RP	O
16	0	CD	O
other	other	JJ	O
items	item	NNS	O
that	that	WDT	O
were	be	VBD	O
put	put	VBN	O
up	up	RP	O
for	for	IN	O
auction	auction	NN	O
by	by	IN	O
Hendrix	hendrix	NNP	U-PER
's	's	POS	O
former	former	JJ	O
girlfriend	girlfriend	NN	O
Kathy	kathy	NNP	B-PER
Etchingham	etchingham	NNP	L-PER
,	,	,	O
who	who	WP	O
lived	live	VBD	O
with	with	IN	O
him	him	PRP	O
from	from	IN	O
1966	0	CD	O
to	to	IN	O
1969	0	CD	O
.	.	.	O

They	they	PRP	O
included	include	VBD	O
a	a	DT	O
black	black	JJ	O
lacquer	lacquer	NN	O
and	and	CC	O
mother	mother	NN	O
of	of	IN	O
pearl	pearl	NN	O
inlaid	inlaid	NN	O
box	box	NN	O
used	use	VBN	O
by	by	IN	O
Hendrix	hendrix	NNP	U-PER
to	to	TO	O
store	store	VB	O
his	his	PRP$	O
drugs	drug	NNS	O
,	,	,	O
which	which	WDT	O
an	an	DT	O
anonymous	anonymous	JJ	O
Australian	australian	JJ	U-MISC
purchaser	purchaser	NN	O
bought	buy	VBD	O
for	for	IN	O
5,060	0	CD	O
pounds	pound	NNS	O
(	(	-LRB-	O
$	$	$	O
7,845	0	CD	O
)	)	-RRB-	O
.	.	.	O

The	the	DT	O
guitarist	guitarist	NN	O
died	die	VBD	O
of	of	IN	O
a	a	DT	O
drugs	drug	NNS	O
overdose	overdose	RB	O
in	in	IN	O
1970	0	CD	O
aged	aged	JJ	O
27	0	CD	O
.	.	.	O

-DOCSTART-	-docstart-	XX	O

China	china	NNP	U-LOC
says	say	VBZ	O
Taiwan	taiwan	NNP	U-LOC
spoils	spoil	VBZ	O
atmosphere	atmosphere	NN	O
for	for	IN	O
talks	talk	NNS	O
.	.	.	O

BEIJING	beijing	NNP	U-LOC
1996-08-22	0	CD	O

China	china	NNP	U-LOC
on	on	IN	O
Thursday	thursday	NNP	O
accused	accuse	VBD	O
Taipei	taipei	NNP	U-LOC
of	of	IN	O
spoiling	spoil	VBG	O
the	the	DT	O
atmosphere	atmosphere	NN	O
for	for	IN	O
a	a	DT	O
resumption	resumption	NN	O
of	of	IN	O
talks	talk	NNS	O
across	across	IN	O
the	the	DT	O
Taiwan	taiwan	NNP	B-LOC
Strait	strait	NNP	L-LOC
with	with	IN	O
a	a	DT	O
visit	visit	NN	O
to	to	IN	O
Ukraine	ukraine	NNP	U-LOC
by	by	IN	O
Taiwanese	taiwanese	NNP	U-MISC
Vice	vice	NNP	O
President	president	NNP	O
Lien	lien	NNP	B-PER
Chan	chan	NNP	L-PER
this	this	DT	O
week	week	NN	O
that	that	IN	O
infuriated	infuriate	VBD	O
Beijing	beijing	NNP	U-LOC
.	.	.	O

Speaking	speak	VBG	O
only	only	RB	O
hours	hour	NNS	O
after	after	IN	O
Chinese	chinese	JJ	U-MISC
state	state	NN	O
media	medium	NNS	O
said	say	VBD	O
the	the	DT	O
time	time	NN	O
was	be	VBD	O
right	right	JJ	O
to	to	TO	O
engage	engage	VB	O
in	in	IN	O
political	political	JJ	O
talks	talk	NNS	O
with	with	IN	O
Taiwan	taiwan	NNP	U-LOC
,	,	,	O
Foreign	foreign	NNP	B-ORG
Ministry	ministry	NNP	L-ORG
spokesman	spokesman	NN	O
Shen	shen	NNP	B-PER
Guofang	guofang	NNP	L-PER
told	tell	VBD	O
Reuters	reuters	NNP	U-ORG
:	:	:	O
"	"	``	O
The	the	DT	O
necessary	necessary	JJ	O
atmosphere	atmosphere	NN	O
for	for	IN	O
the	the	DT	O
opening	opening	NN	O
of	of	IN	O
the	the	DT	O
talks	talk	NNS	O
has	have	VBZ	O
been	be	VBN	O
disrupted	disrupt	VBN	O
by	by	IN	O
the	the	DT	O
Taiwan	taiwan	NNP	U-LOC
authorities	authority	NNS	O
.	.	.	O
"	"	''	O

State	state	NN	O
media	medium	NNS	O
quoted	quote	VBD	O
China	china	NNP	U-LOC
's	's	POS	O
top	top	JJ	O
negotiator	negotiator	NN	O
with	with	IN	O
Taipei	taipei	NNP	U-LOC
,	,	,	O
Tang	tang	NNP	B-PER
Shubei	shubei	NNP	L-PER
,	,	,	O
as	as	IN	O
telling	tell	VBG	O
a	a	DT	O
visiting	visit	VBG	O
group	group	NN	O
from	from	IN	O
Taiwan	taiwan	NNP	U-LOC
on	on	IN	O
Wednesday	wednesday	NNP	O
that	that	IN	O
it	it	PRP	O
was	be	VBD	O
time	time	NN	O
for	for	IN	O
the	the	DT	O
rivals	rival	NNS	O
to	to	TO	O
hold	hold	VB	O
political	political	JJ	O
talks	talk	NNS	O
.	.	.	O

"	"	``	O
Now	now	RB	O
is	be	VBZ	O
the	the	DT	O
time	time	NN	O
for	for	IN	O
the	the	DT	O
two	#crd#	CD	O
sides	side	NNS	O
to	to	TO	O
engage	engage	VB	O
in	in	IN	O
political	political	JJ	O
talks	talk	NNS	O
...	..	.	O

that	that	DT	O
is	be	VBZ	O
to	to	TO	O
end	end	VB	O
the	the	DT	O
state	state	NN	O
of	of	IN	O
hostility	hostility	NN	O
,	,	,	O
"	"	''	O
Thursday	thursday	NNP	O
's	's	POS	O
overseas	overseas	JJ	O
edition	edition	NN	O
of	of	IN	O
the	the	DT	O
People	people	NNPS	B-ORG
's	's	POS	I-ORG
Daily	daily	NNP	L-ORG
quoted	quote	VBD	O
Tang	tang	NNP	U-PER
as	as	IN	O
saying	say	VBG	O
.	.	.	O

The	the	DT	O
foreign	foreign	JJ	O
ministry	ministry	NN	O
's	's	POS	O
Shen	shen	NNP	U-ORG
told	tell	VBD	O
Reuters	reuters	NNP	B-ORG
Television	television	NNP	L-ORG
in	in	IN	O
an	an	DT	O
interview	interview	NN	O
he	he	PRP	O
had	have	VBD	O
read	read	VBN	O
reports	report	NNS	O
of	of	IN	O
Tang	tang	NNP	U-PER
's	's	POS	O
comments	comment	NNS	O
but	but	CC	O
gave	give	VBD	O
no	no	DT	O
details	detail	NNS	O
of	of	IN	O
why	why	WRB	O
the	the	DT	O
negotiator	negotiator	NN	O
had	have	VBD	O
considered	consider	VBN	O
the	the	DT	O
time	time	NN	O
right	right	JJ	O
for	for	IN	O
talks	talk	NNS	O
with	with	IN	O
Taiwan	taiwan	NNP	U-LOC
,	,	,	O
which	which	WDT	O
Beijing	beijing	NNP	U-LOC
considers	consider	VBZ	O
a	a	DT	O
renegade	renegade	JJ	O
province	province	NN	O
.	.	.	O

China	china	NNP	U-LOC
,	,	,	O
which	which	WDT	O
has	have	VBZ	O
long	long	RB	O
opposed	oppose	VBN	O
all	all	DT	O
Taipei	taipei	NNP	U-LOC
efforts	effort	NNS	O
to	to	TO	O
gain	gain	VB	O
greater	great	JJR	O
international	international	JJ	O
recognition	recognition	NN	O
,	,	,	O
was	be	VBD	O
infuriated	infuriate	VBN	O
by	by	IN	O
a	a	DT	O
visit	visit	NN	O
to	to	IN	O
Ukraine	ukraine	NNP	U-LOC
this	this	DT	O
week	week	NN	O
by	by	IN	O
Taiwanese	taiwanese	NNP	U-MISC
Vice	vice	NNP	O
President	president	NNP	O
Lien	lien	NNP	U-PER
.	.	.	O

-DOCSTART-	-docstart-	XX	O

China	china	NNP	U-LOC
says	say	VBZ	O
time	time	NN	O
right	right	JJ	O
for	for	IN	O
Taiwan	taiwan	NNP	U-LOC
talks	talk	NNS	O
.	.	.	O

BEIJING	beijing	NNP	U-LOC
1996-08-22	0	CD	O

China	china	NNP	U-LOC
has	have	VBZ	O
said	say	VBN	O
it	it	PRP	O
was	be	VBD	O
time	time	NN	O
for	for	IN	O
political	political	JJ	O
talks	talk	NNS	O
with	with	IN	O
Taiwan	taiwan	NNP	U-LOC
and	and	CC	O
that	that	IN	O
the	the	DT	O
rival	rival	JJ	O
island	island	NN	O
should	should	MD	O
take	take	VB	O
practical	practical	JJ	O
steps	step	NNS	O
towards	towards	IN	O
that	that	DT	O
goal	goal	NN	O
.	.	.	O

Consultations	consultation	NNS	O
should	should	MD	O
be	be	VB	O
held	hold	VBN	O
to	to	TO	O
set	set	VB	O
the	the	DT	O
time	time	NN	O
and	and	CC	O
format	format	NN	O
of	of	IN	O
the	the	DT	O
talks	talk	NNS	O
,	,	,	O
the	the	DT	O
official	official	JJ	O
Xinhua	xinhua	NNP	U-ORG
news	news	NN	O
agency	agency	NN	O
quoted	quote	VBD	O
Tang	tang	NNP	B-PER
Shubei	shubei	NNP	L-PER
,	,	,	O
executive	executive	JJ	O
vice	vice	NN	O
chairman	chairman	NN	O
of	of	IN	O
the	the	DT	O
Association	association	NNP	B-ORG
for	for	IN	I-ORG
Relations	relation	NNPS	I-ORG
Across	across	IN	I-ORG
the	the	DT	I-ORG
Taiwan	taiwan	NNP	I-ORG
Straits	strait	NNPS	L-ORG
,	,	,	O
as	as	IN	O
saying	say	VBG	O
late	late	RB	O
on	on	IN	O
Wednesday	wednesday	NNP	O
.	.	.	O

-DOCSTART-	-docstart-	XX	O

German	german	JJ	U-MISC
July	july	NNP	O
car	car	NN	O
registrations	registrations	VBZ	O
up	up	RP	O
14.2	0	CD	O
pct	pct	NN	O
yr	yr	NN	O
/	/	SYM	O
yr	yr	NN	O
.	.	.	O

FRANKFURT	frankfurt	NNP	U-LOC
1996-08-22	0	CD	O

German	german	JJ	U-MISC
first-time	first-time	JJ	O
registrations	registration	NNS	O
of	of	IN	O
motor	motor	NN	O
vehicles	vehicle	NNS	O
jumped	jump	VBD	O
14.2	0	CD	O
percent	percent	NN	O
in	in	IN	O
July	july	NNP	O
this	this	DT	O
year	year	NN	O
from	from	IN	O
the	the	DT	O
year-earlier	year-earlier	JJ	O
period	period	NN	O
,	,	,	O
the	the	DT	O
Federal	federal	JJ	B-ORG
office	office	NN	I-ORG
for	for	IN	I-ORG
motor	motor	NN	I-ORG
vehicles	vehicle	NNS	L-ORG
said	say	VBD	O
on	on	IN	O
Thursday	thursday	NNP	O
.	.	.	O

The	the	DT	O
office	office	NN	O
said	say	VBD	O
356,725	0	CD	O
new	new	JJ	O
cars	car	NNS	O
were	be	VBD	O
registered	register	VBN	O
in	in	IN	O
July	july	NNP	O
1996	0	CD	O
--	--	:	O
304,850	0	CD	O
passenger	passenger	NN	O
cars	car	NNS	O
and	and	CC	O
15,613	0	CD	O
trucks	truck	NNS	O
.	.	.	O

The	the	DT	O
figures	figure	NNS	O
represent	represent	VBP	O
a	a	DT	O
13.6	0	CD	O
percent	percent	NN	O
increase	increase	NN	O
for	for	IN	O
passenger	passenger	NN	O
cars	car	NNS	O
and	and	CC	O
a	a	DT	O
2.2	0	CD	O
percent	percent	NN	O
decline	decline	NN	O
for	for	IN	O
trucks	truck	NNS	O
from	from	IN	O
July	july	NNP	O
1995	0	CD	O
.	.	.	O

Motor-bike	motor-bike	JJ	O
registration	registration	NN	O
rose	rise	VBD	O
32.7	0	CD	O
percent	percent	NN	O
in	in	IN	O
the	the	DT	O
period	period	NN	O
.	.	.	O

The	the	DT	O
growth	growth	NN	O
was	be	VBD	O
partly	partly	RB	O
due	due	JJ	O
to	to	IN	O
an	an	DT	O
increased	increase	VBN	O
number	number	NN	O
of	of	IN	O
Germans	german	NNPS	U-MISC
buying	buy	VBG	O
German	german	JJ	U-MISC
cars	car	NNS	O
abroad	abroad	RB	O
,	,	,	O
while	while	IN	O
manufacturers	manufacturer	NNS	O
said	say	VBD	O
that	that	IN	O
domestic	domestic	JJ	O
demand	demand	NN	O
was	be	VBD	O
weak	weak	JJ	O
,	,	,	O
the	the	DT	O
federal	federal	JJ	O
office	office	NN	O
said	say	VBD	O
.	.	.	O

Almost	almost	RB	O
all	all	DT	O
German	german	JJ	U-MISC
car	car	NN	O
manufacturers	manufacturer	NNS	O
posted	post	VBD	O
gains	gain	NNS	O
in	in	IN	O
registration	registration	NN	O
numbers	number	NNS	O
in	in	IN	O
the	the	DT	O
period	period	NN	O
.	.	.	O

Volkswagen	volkswagen	NNP	B-ORG
AG	ag	NNP	L-ORG
won	win	VBD	O
77,719	0	CD	O
registrations	registration	NNS	O
,	,	,	O
slightly	slightly	RB	O
more	more	JJR	O
than	than	IN	O
a	a	DT	O
quarter	quarter	NN	O
of	of	IN	O
the	the	DT	O
total	total	NN	O
.	.	.	O

Opel	opel	NNP	B-ORG
AG	ag	NNP	L-ORG
together	together	RB	O
with	with	IN	O
General	general	NNP	B-ORG
Motors	motor	NNPS	L-ORG
came	come	VBD	O
in	in	IN	O
second	#ord#	JJ	O
place	place	NN	O
with	with	IN	O
49,269	0	CD	O
registrations	registration	NNS	O
,	,	,	O
16.4	0	CD	O
percent	percent	NN	O
of	of	IN	O
the	the	DT	O
overall	overall	JJ	O
figure	figure	NN	O
.	.	.	O

Third	#ord#	NNP	O
was	be	VBD	O
Ford	ford	NNP	U-ORG
with	with	IN	O
35,563	0	CD	O
registrations	registration	NNS	O
,	,	,	O
or	or	CC	O
11.7	0	CD	O
percent	percent	NN	O
.	.	.	O

Only	only	RB	O
Seat	seat	NNP	U-ORG
and	and	CC	O
Porsche	porsche	NNP	U-ORG
had	have	VBD	O
fewer	few	JJR	O
registrations	registration	NNS	O
in	in	IN	O
July	july	NNP	O
1996	0	CD	O
compared	compare	VBN	O
to	to	IN	O
last	last	JJ	O
year	year	NN	O
's	's	POS	O
July	july	NNP	O
.	.	.	O

Seat	seat	NNP	U-ORG
posted	post	VBD	O
3,420	0	CD	O
registrations	registration	NNS	O
compared	compare	VBN	O
with	with	IN	O
5522	0	CD	O
registrations	registration	NNS	O
in	in	IN	O
July	july	NNP	O
a	a	DT	O
year	year	NN	O
earlier	early	RBR	O
.	.	.	O

Porsche	porsche	NNP	U-ORG
's	's	POS	O
registrations	registration	NNS	O
fell	fall	VBD	O
to	to	IN	O
554	0	CD	O
from	from	IN	O
643	0	CD	O
.	.	.	O

-DOCSTART-	-docstart-	XX	O

GREEK	greek	NNP	U-MISC
SOCIALISTS	socialist	NNS	O
GIVE	give	VBP	O
GREEN	green	NNP	O
LIGHT	light	NNP	O
TO	to	IN	O
PM	pm	NN	O
FOR	for	IN	O
ELECTIONS	election	NNS	O
.	.	.	O

ATHENS	athens	NNP	U-LOC
1996-08-22	0	CD	O

The	the	DT	O
Greek	greek	JJ	U-MISC
socialist	socialist	JJ	O
party	party	NN	O
's	's	POS	O
executive	executive	JJ	O
